Name,FuelSubType,FuelType,Owner,YearCommissioning,Capacity,Status,Long,Lat,FuelCategory,LGA,Source,Region
Millchester Battery,Storage,Battery storage,EQL,2025,4,Under construction,146.2806021,-20.100987,Storage,Charters Towers,"EQL, Local Network Battery Plan, Stage 3",North
Mooloolaba Battery,Storage,Battery storage,EQL,2025,4,Under construction,153.0693265,-26.7085938,Storage,Sunshine Coast,"EQL, Local Network Battery Plan, Stage 3",South East
Rocky Street Battery,Storage,Battery storage,EQL,2025,4,Under construction,152.6871835,-25.5279366,Storage,Maryborough,"EQL, Local Network Battery Plan, Stage 3",Wide Bay Burnett
Woodridge Battery,Storage,Battery storage,EQL,2025,4,Under construction,153.1182403,-27.6330326,Storage,Logan,"EQL, Local Network Battery Plan, Stage 3",South East
Yatala Battery,Storage,Battery storage,EQL,2025,4,Under construction,153.2286491,-27.7605223,Storage,Gold Coast,"EQL, Local Network Battery Plan, Stage 3",South East
Kareeya,Hydro,Hydro,CleanCo Queensland Ltd,Jan 1957,88,Operating,145.5784319,-17.76717187,Renewable,Cassowary Coast,,Far North
Barron Gorge,Hydro,Hydro,CleanCo Queensland Ltd,Jan 1963,66,Operating,145.6467466,-16.85073944,Renewable,Mareeba,,Far North
Racecourse,Bagasse,Bioenergy,Mackay Sugar Limited,Jan 1982,48.5,Operating,149.1338122,-21.16424115,Renewable,Mackay,,"Mackay, Isaac, Whitsunday"
Wivenhoe,Storage,Pumped hydro,CleanCo Queensland Ltd,Jan 1984,570,Operating,152.6319,-27.3722,Storage,Somerset,https://cleancoqueensland.com.au/portfolio/owned-and-operated/wivenhoe-pumped-storage-hydro-power-station/,South East
Invicta,Bagasse,Bioenergy,Wilmar Sugar,Jan 1996,50,Operating,147.1064752,-19.51722271,Renewable,Burdekin,,North
Windy Hill,Wind,Wind,RATCH Australia Corporation,Jan 2000,12,Operating,145.5319859,-17.59255025,Renewable,Tablelands,,Far North
Millaquin Sugar Mill,Bagasse,Bioenergy,Bundaberg Sugar Ltd,Jan 2002,5,Operating,152.35201,-24.86020064,Renewable,Bundaberg,,Wide Bay Burnett
Mulgrave Mill,Bagasse,Bioenergy,The Mulgrave Central Mill Co Ltd,Jan 2003,9,Operating,145.7887014,-17.09326819,Renewable,Cairns,,Far North
